arise_control_id,ISO/IEC 42001 Control ID(s),ISO/IEC 42001 Control Item(s),rationale
D.AD,8.2; 9.2,8.2: AI risk assessment and controls; 9.2: Internal audit,"Anomaly Detection supports ISO/IEC 42001 requirement(s) 8.2, 9.2 by addressing detection, monitoring, audit logging, threat intelligence, and assessment. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
D.CM,8.3; 9.1,"8.3: AI risk treatment and operational monitoring; 9.1: Monitoring, measurement, analysis, and evaluation","Continuous Monitoring supports ISO/IEC 42001 requirement(s) 8.3, 9.1 by addressing detection, monitoring, audit logging, threat intelligence, and assessment. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
D.IA,9.2-9.4,9.2-9.4: Internal audit,"Internal Audit supports ISO/IEC 42001 requirement(s) 9.2-9.4 by addressing detection, monitoring, audit logging, threat intelligence, and assessment. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
D.ID,8.3,8.3: AI risk treatment and operational monitoring,"IOC Detection supports ISO/IEC 42001 requirement(s) 8.3 by addressing detection, monitoring, audit logging, threat intelligence, and assessment. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
D.IM,8.4; 10.2,8.4: AI system impact assessment and incident/impact handling; 10.2: Nonconformity and corrective action,"Incident Management supports ISO/IEC 42001 requirement(s) 8.4, 10.2 by addressing detection, monitoring, audit logging, threat intelligence, and assessment. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
D.MT,8.3,8.3: AI risk treatment and operational monitoring,"Monitor Third Parties supports ISO/IEC 42001 requirement(s) 8.3 by addressing detection, monitoring, audit logging, threat intelligence, and assessment. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
D.SA-01,9.2-9.4,9.2-9.4: Internal audit,"Performing Security Assessments supports ISO/IEC 42001 requirement(s) 9.2-9.4 by addressing detection, monitoring, audit logging, threat intelligence, and assessment. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
D.TI,8.4,8.4: AI system impact assessment and incident/impact handling,"Threat Intelligence supports ISO/IEC 42001 requirement(s) 8.4 by addressing detection, monitoring, audit logging, threat intelligence, and assessment. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.AC-01,5.1,5.1: Leadership and commitment,"Top Management Commitment supports ISO/IEC 42001 requirement(s) 5.1 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.AC-02,5.3,"5.3: Roles, responsibilities, and authorities","Charters & Committees supports ISO/IEC 42001 requirement(s) 5.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.AC-03,9.3,9.3: Management review,"Executive Leadership & Board Oversight supports ISO/IEC 42001 requirement(s) 9.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.A-01,4.2; 8.3,4.2: Interested parties and needs; 8.3: AI risk treatment and operational monitoring,"Accountability supports ISO/IEC 42001 requirement(s) 4.2, 8.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.A-03,4.2; 8.3,4.2: Interested parties and needs; 8.3: AI risk treatment and operational monitoring,"Inclusivity supports ISO/IEC 42001 requirement(s) 4.2, 8.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.C-01,8.2.2,8.2.2: Operational/acceptable-use controls,"COC: Acceptable Use supports ISO/IEC 42001 requirement(s) 8.2.2 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.C-02,5.3,"5.3: Roles, responsibilities, and authorities","COC: Data Ethics supports ISO/IEC 42001 requirement(s) 5.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
